State,State_Code,Question_Short,Question_Full,Response,No_Of_Households
Uttar Pradesh,UP,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,1234
Uttarakhand,UK,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,269
West Bengal,WB,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,799
Andhra Pradesh,AP,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,140
Assam,AS,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,20
Bihar,BR,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,27
Chhattisgarh,CH,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,27
Delhi,DL,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,331
Gujarat,GJ,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,700
Haryana,HR,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,64
Himachal Pradesh,HP,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,246
Jharkhand,JH,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,8
Karnataka,KA,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,336
Kerala,KL,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,290
Madhya Pradesh,MP,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,407
Maharashtra,MH,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,704
Odisha,OR,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,97
Punjab,PB,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,169
Rajasthan,RJ,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,406
Tamil Nadu,TN,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,538
Telangana,TS,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,176
Uttar Pradesh,UP,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,85
Uttarakhand,UK,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,108
West Bengal,WB,Q302_num_hh,How many hours a day is electricity usually available?,24 hours,152
Andhra Pradesh,AP,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,0
Assam,AS,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,16
Bihar,BR,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,42
Chhattisgarh,CH,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,2
Delhi,DL,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,0
Gujarat,GJ,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,6
Haryana,HR,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,11
Himachal Pradesh,HP,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,4
Jharkhand,JH,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,22
Karnataka,KA,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,24
Kerala,KL,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,0
Madhya Pradesh,MP,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,16
Maharashtra,MH,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,120
Odisha,OR,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,10
Punjab,PB,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,0
Rajasthan,RJ,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,55
Tamil Nadu,TN,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,3
Telangana,TS,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,1
Uttar Pradesh,UP,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,80
Uttarakhand,UK,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,2
West Bengal,WB,Q302_num_hh,How many hours a day is electricity usually available?,8-12 hours,3
Andhra Pradesh,AP,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
Assam,AS,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,4
Bihar,BR,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,11
Chhattisgarh,CH,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
Delhi,DL,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
Gujarat,GJ,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,3
Haryana,HR,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,12
Himachal Pradesh,HP,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
Jharkhand,JH,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,15
Karnataka,KA,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,17
Kerala,KL,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
Madhya Pradesh,MP,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,8
Maharashtra,MH,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,15
Odisha,OR,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,10
Punjab,PB,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
Rajasthan,RJ,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,15
Tamil Nadu,TN,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
Telangana,TS,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,5
Uttar Pradesh,UP,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,17
Uttarakhand,UK,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,0
West Bengal,WB,Q302_num_hh,How many hours a day is electricity usually available?,8 or less,3
Andhra Pradesh,AP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,1
Assam,AS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,8
Bihar,BR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,170
Chhattisgarh,CH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,36
Delhi,DL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,11
Gujarat,GJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,28
Haryana,HR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,20
Himachal Pradesh,HP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,3
Jharkhand,JH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,144
Karnataka,KA,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,28
Kerala,KL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,2
Madhya Pradesh,MP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,245
Maharashtra,MH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,19
Odisha,OR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,27
Punjab,PB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,12
Rajasthan,RJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,36
Tamil Nadu,TN,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,33
Telangana,TS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,1
Uttar Pradesh,UP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,121
Uttarakhand,UK,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,14
West Bengal,WB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,No,17
Andhra Pradesh,AP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,497
Assam,AS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,386
Bihar,BR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,1091
Chhattisgarh,CH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,313
Delhi,DL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,383
Gujarat,GJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,751
Haryana,HR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,319
Himachal Pradesh,HP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,381
Jharkhand,JH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,207
Karnataka,KA,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,729
Kerala,KL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,380
Madhya Pradesh,MP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,553
Maharashtra,MH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,1383
Odisha,OR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,501
Punjab,PB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,385
Rajasthan,RJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,838
Tamil Nadu,TN,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,906
Telangana,TS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,491
Uttar Pradesh,UP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,1270
Uttarakhand,UK,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,364
West Bengal,WB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,Yes,937
Andhra Pradesh,AP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,0
Assam,AS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,2
Bihar,BR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,37
Chhattisgarh,CH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,27
Delhi,DL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,1
Gujarat,GJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,11
Haryana,HR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,39
Himachal Pradesh,HP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,0
Jharkhand,JH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,12
Karnataka,KA,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,29
Kerala,KL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,1
Madhya Pradesh,MP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,64
Maharashtra,MH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,6
Odisha,OR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,28
Punjab,PB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,0
Rajasthan,RJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,62
Tamil Nadu,TN,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,30
Telangana,TS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,1
Uttar Pradesh,UP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,132
Uttarakhand,UK,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,5
West Bengal,WB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,N.A.,23
Andhra Pradesh,AP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",0
Assam,AS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",3
Bihar,BR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",48
Chhattisgarh,CH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",10
Delhi,DL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",0
Gujarat,GJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",8
Haryana,HR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",5
Himachal Pradesh,HP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",0
Jharkhand,JH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",23
Karnataka,KA,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",2
Kerala,KL,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",2
Madhya Pradesh,MP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",102
Maharashtra,MH,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",1
Odisha,OR,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",30
Punjab,PB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",0
Rajasthan,RJ,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",37
Tamil Nadu,TN,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",0
Telangana,TS,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",0
Uttar Pradesh,UP,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",25
Uttarakhand,UK,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",1
West Bengal,WB,Q312_grid_elec_meter_yn,Do you have an electricity meter?,"Yes, but not working",3
Andhra Pradesh,AP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,495
Assam,AS,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,394
Bihar,BR,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,1337
Chhattisgarh,CH,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,382
Delhi,DL,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,394
Gujarat,GJ,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,786
Haryana,HR,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,378
Himachal Pradesh,HP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,379
Jharkhand,JH,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,380
Karnataka,KA,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,765
Kerala,KL,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,381
Madhya Pradesh,MP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,963
Maharashtra,MH,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,1403
Odisha,OR,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,567
Punjab,PB,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,396
Rajasthan,RJ,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,967
Tamil Nadu,TN,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,962
Telangana,TS,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,492
Uttar Pradesh,UP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,1521
Uttarakhand,UK,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,380
West Bengal,WB,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,No,978
Andhra Pradesh,AP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,3
Assam,AS,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,5
Bihar,BR,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,9
Chhattisgarh,CH,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,4
Delhi,DL,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,1
Gujarat,GJ,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,12
Haryana,HR,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,5
Himachal Pradesh,HP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,5
Jharkhand,JH,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,6
Karnataka,KA,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,23
Kerala,KL,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,4
Madhya Pradesh,MP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,1
Maharashtra,MH,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,6
Odisha,OR,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,19
Punjab,PB,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,1
Rajasthan,RJ,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,6
Tamil Nadu,TN,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,7
Telangana,TS,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,1
Uttar Pradesh,UP,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,27
Uttarakhand,UK,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,4
West Bengal,WB,Q319_shs_use_yn,Do you use solar home system for electricity in your house?,Yes,2
Andhra Pradesh,AP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,498
Assam,AS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,397
Bihar,BR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,1308
Chhattisgarh,CH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,359
Delhi,DL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,394
Gujarat,GJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,788
Haryana,HR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,340
Himachal Pradesh,HP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,384
Jharkhand,JH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,374
Karnataka,KA,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,757
Kerala,KL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,384
Madhya Pradesh,MP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,900
Maharashtra,MH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,1402
Odisha,OR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,558
Punjab,PB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,397
Rajasthan,RJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,910
Tamil Nadu,TN,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,939
Telangana,TS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,492
Uttar Pradesh,UP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,1414
Uttarakhand,UK,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,379
West Bengal,WB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Grid electricity,957
Andhra Pradesh,AP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,0
Assam,AS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,1
Bihar,BR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,36
Chhattisgarh,CH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,16
Delhi,DL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,1
Gujarat,GJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,10
Haryana,HR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,39
Himachal Pradesh,HP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,0
Jharkhand,JH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,9
Karnataka,KA,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,25
Kerala,KL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,0
Madhya Pradesh,MP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,63
Maharashtra,MH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,6
Odisha,OR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,11
